t0	12/31/1903  21:00:00,000000
delta t	6,25E-05
	
Y	
-0,974917	
-1,149459	
-0,897429	
-1,141341	
-1,076368	
-0,960785	
-1,036867	
-1,079901	
-0,870556	
-1,099511	
-1,086336	
-0,998245	
-1,022065	
-1,078158	
-0,929795	
-0,918229	
-0,955261	
-1,002129	
-0,981161	
-1,049787	
-1,050547	
-1,007272	
-1,062153	
-0,970491	
-0,905288	
-0,964432	
-1,127369	
-1,04633	
-0,924119	
-1,039363	
-1,163935	
-1,104082	
-0,950887	
-0,982166	
-0,890328	
-0,961619	
-1,045606	
-1,037975	
-1,115382	
-0,995621	
-1,115065	
-0,992237	
-1,032084	
-1,147392	
-0,913084	
-1,061118	
-0,936831	
-1,032728	
-1,047787	
-1,097278	
-1,115961	
-1,021849	
-0,858405	
-0,977986	
-1,066563	
-0,933835	
-1,086594	
-0,90492	
-1,10555	
-1,014987	
-0,943862	
-1,090823	
-1,045932	
-0,962324	
-0,954521	
-1,001577	
-0,952586	
-0,92278	
-0,981627	
-0,999586	
-0,996022	
-0,843183	
-0,987925	
-0,983806	
-0,896657	
-1,069385	
-1,064873	
-0,923158	
-0,940247	
-0,77588	
-1,056643	
-0,844135	
-1,037672	
-1,034638	
-1,066298	
-0,955735	
-0,978815	
-0,981248	
-1,184927	
-1,076237	
-0,81002	
-0,973352	
-0,959762	
-1,121333	
-1,140261	
-1,005703	
-0,783256	
-1,21545	
-1,016167	
-1,139279	
-0,898014	
-0,946816	
-0,916744	
-0,903359	
-0,888971	
-0,991629	
-0,888542	
-1,100396	
-1,19029	
-1,165513	
-0,920581	
-0,988507	
-0,951984	
-0,869956	
-0,887439	
-1,162855	
-1,128038	
-1,043957	
-1,014019	
-0,896727	
-1,089605	
-0,936179	
-1,154821	
-1,046033	
-0,971437	
-1,085555	
-0,910614	
-1,210604	
-1,110247	
-0,852818	
-1,124716	
-1,054875	
-0,884822	
-1,201788	
-1,042389	
-0,906865	
-0,97807	
-1,05148	
-1,121526	
-1,134498	
-1,073995	
-0,9602	
-0,897526	
-1,060321	
-1,003567	
-1,142347	
-0,975722	
-0,87087	
-1,094413	
-1,07106	
-0,827172	
-1,108814	
-0,931462	
-1,026485	
-0,945264	
-1,093649	
-1,122033	
-1,057156	
-1,07081	
-1,108331	
-1,066137	
-1,078806	
-0,813106	
-1,073164	
-0,996879	
-1,158885	
-1,126703	
-0,905597	
-0,86969	
-1,062915	
-0,982274	
-1,000745	
-1,173005	
-0,948723	
-1,003269	
-1,002925	
-0,892443	
-0,880588	
-1,005307	
